Document Title,Policy subpart,Source,Payer,Plan Bucket,PBM,Plan Types,States,Number of States,Plan Types and States,Document Type,Categories,Link to Policy/Formulary PDF,Link to Revision History,Policy Identifier,Link to PDF Formulary (Broken),Policy Last Updated,Status,Review date,Next review date (payer defined),Next review date (est.), Medical Covered Lives,Plan Type(s),CGMs Covered,Device Type Covered (from CGMs Covered),CGMs Preferred,Device Type Preferred (from CGMs Preferred),AIDs Covered,AIDs Preferred,CGM Coverage/Distribution Path,Diabetes Diagnosis,Multiple insulin injections daily or insulin pump use,Inadequate glycemic control,Episodes of hyperglycemia,Episodes of hypoglycemia,Hypoglycemia unawareness,Demonstrated understanding of and willingness to use technology,Age criteria,Self monitoring of glucose levels,Reference to clinical treatment guidelines,Compatability override,Replacement criteria,Renewal criteria,Policy includes coding recommendations,Summary of criteria,Review Complete,Sensor quantity limit,Review Comments,CHIR Review Fields Last Modified,AIDs Excluded,CGMs Excluded,Device Type Excluded,UM Prior Auth.,UM Step Therapy,UM QL,PA approval length,Clinical guideline or PA vendor referenced,Policy document is used by other focus payers (check all),Policy document is used by other commercial payers (list all),Policy document is used by at least one Medicaid MCO,uuid_formula,airtable_uuid
Cigna National Preferred 5-Tier Specialty Prescription Drug List (CDI) (CA Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/ca-cnpf-5-tier-specialty-doi.pdf,https://portal.policyreporter.com/policy-updates/316793,316793,https://portal.policyreporter.com/geturlupdate.php?urlid=%1316793&updateid=%24798493,3/6/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Abbott FreeStyle Libre 2 Plus rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM","iLet,Omnipod 5,t:slim X2 with control-IQ,Mobi,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G","iLet,Omnipod 5,t:slim X2 with control-IQ,Mobi,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G",,,,,,,,,,,,,,,,,Final,,Selected all Minimed AIDs since documentation did not specify. ,6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM",,,,,,CHIR_IDrecZp60qazvEOCOIe-316793-CACigna National ,recZp60qazvEOCOIe
Cigna National Preferred 5-Tier Specialty Prescription Drug List (Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",53,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY]",Formulary,,https://www.cigna.com/static/www-cigna-com/docs/cigna-national-preferred-prescription-5-tier-specialty-abridged.pdf,https://portal.policyreporter.com/policy-updates/316783,316783,https://portal.policyreporter.com/geturlupdate.php?urlid=%1316783&updateid=%24874879,5/1/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Abbott FreeStyle Libre 2 Plus rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM","iLet,Omnipod 5,t:slim X2 with control-IQ,Mobi,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G","iLet,Omnipod 5,t:slim X2 with control-IQ,Mobi,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G",,,,,,,,,,,,,,,,,Final,,Selected all Minimed AIDs since documentation did not specify. ,6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM",,,,,,CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,recJUkHMhy9wFydai
Cigna National Preferred 5-Tier Specialty Prescription Drug List (DMHC) (CA Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/ca-cnpf-5-tier-specialty-hmo.pdf,https://portal.policyreporter.com/policy-updates/316794,316794,https://portal.policyreporter.com/geturlupdate.php?urlid=%1316794&updateid=%24798489,3/6/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Abbott FreeStyle Libre 2 Plus rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM","iLet,Omnipod 5,t:slim X2 with control-IQ,Mobi,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G","iLet,Omnipod 5,t:slim X2 with control-IQ,Mobi,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G",,,,,,,,,,,,,,,,,Final,,Selected all Minimed AIDs since documentation did not specify. ,6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM",,,,,,CHIR_IDreca9XzQkdTf86EUo-316794-CACigna National ,reca9XzQkdTf86EUo
Cigna National Preferred 6-Tier Prescription Drug List (CDI) (CA Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/ca-cnpf-6-tier-doi.pdf,https://portal.policyreporter.com/policy-updates/316796,316796,https://portal.policyreporter.com/geturlupdate.php?urlid=%1316796&updateid=%24799610,3/7/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM","iLet,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G,Mobi,Omnipod 5,t:slim X2 with control-IQ","iLet,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G,Mobi,Omnipod 5,t:slim X2 with control-IQ",,,,,,,,,,,,,,,,,Final,,Selected all Minimed AIDs since documentation did not specify. ,6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM",,,,,,CHIR_IDrecCKd9ou6oLEKtG8-316796-CACigna National ,recCKd9ou6oLEKtG8
Cigna National Preferred 6-Tier Prescription Drug List (Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",53,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY]",Formulary,,https://www.cigna.com/static/www-cigna-com/docs/cigna-national-preferred-prescription-6-tier-abridged.pdf,https://portal.policyreporter.com/policy-updates/316785,316785,https://portal.policyreporter.com/geturlupdate.php?urlid=%1316785&updateid=%24874881,5/1/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM",,,"iLet,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G,Mobi,Omnipod 5",,,,,,,,,,,,,,,,,,Final,,"Doc is a list of some of the most commonly prescribed medications covered on the Cigna Healthcare National Preferred 6-Tier Prescription Drug List, not a full list
",6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,,,,,CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,recb56e5cJCQ6Hmf5
Cigna National Preferred 6-Tier Prescription Drug List (DMHC) (CA Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/ca-cnpf-6-tier-hmo.pdf,https://portal.policyreporter.com/policy-updates/316797,316797,https://portal.policyreporter.com/geturlupdate.php?urlid=%1316797&updateid=%24798497,3/6/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM","iLet,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G,Mobi,Omnipod 5,t:slim X2 with control-IQ","iLet,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G,Mobi,Omnipod 5,t:slim X2 with control-IQ",,,,,,,,,,,,,,,,,Final,,Selected all Minimed AIDs since documentation did not specify. ,6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM",,,,,,CHIR_IDrec2wHHlTA6YHpzo6-316797-CACigna National ,rec2wHHlTA6YHpzo6
Cigna Performance 3-Tier Prescription Drug List (CDI) (CA Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/individuals-families/member-resources/prescription/ca-performance-3-tier-cdi.pdf,https://portal.policyreporter.com/policy-updates/268497,268497,https://portal.policyreporter.com/geturlupdate.php?urlid=%1268497&updateid=%24791768,3/2/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 3 rtCGM,Medtronic Guardian 4 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM",Omnipod 5,Omnipod 5,,,,,,,,,,,,,,,,,Final,,"Selected all Guardian CGMs since doc did not specify. Guardian CGMs listed as ""generic"" which is one tier above preferred brands",6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,,,,,CHIR_IDrec5boxnyE0YH8kjB-268497-CACigna Performan,rec5boxnyE0YH8kjB
Cigna National Preferred Prescription Drug List (Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",53,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY]",Formulary,,https://www.cigna.com/static/www-cigna-com/docs/individuals-families/member-resources/prescription/cigna-national-preferred-formulary-abridged.pdf,https://portal.policyreporter.com/policy-updates/268518,268518,https://portal.policyreporter.com/geturlupdate.php?urlid=%1268518&updateid=%24875081,5/1/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM",,,"iLet,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G,Mobi,Omnipod 5",,,,,,,,,,,,,,,,,,Final,,"Doc is a list of some of the most commonly prescribed medications, not a full list
",6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,,,,,CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,recRDqVEDerLMP7jF
Cigna Performance 4-Tier Prescription Drug List (CDI) (CA Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/individuals-families/member-resources/prescription/ca-performance-4-tier-spec-cdi.pdf,https://portal.policyreporter.com/policy-updates/268498,268498,https://portal.policyreporter.com/geturlupdate.php?urlid=%1268498&updateid=%24791770,3/2/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 3 rtCGM,Medtronic Guardian 4 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM",Omnipod 5,Omnipod 5,,,,,,,,,,,,,,,,,Final,,"Selected all Guardian CGMs since doc did not specify. Guardian CGMs listed as ""generic"" which is one tier above preferred brands",6/4/2025 10:45am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,,,,,CHIR_IDrecsyKu9FxwVFcOyd-268498-CACigna Performan,recsyKu9FxwVFcOyd
Cigna Plus 4-Tier Prescription Drug List (FL Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,FL,1,Health Plan: [FL],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-25-rx-fl-981619-cigna-rx-plus-4-tier-pdl.pdf,https://portal.policyreporter.com/policy-updates/315721,315721,https://portal.policyreporter.com/geturlupdate.php?urlid=%1315721&updateid=%24830849,4/1/2025,,,,,,Individual Market,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM","iLet,Minimed 770G,Minimed 780G,Omnipod 5,Minimed 630G,Minimed 670G","iLet,Minimed 770G,Minimed 780G,Omnipod 5,Minimed 630G,Minimed 670G",,,,,,,,,,,,,,,,,Final,,Selected all Minimed AIDs since documentation did not specify. ,6/4/2025 10:45am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,,,,,CHIR_IDrecd4qtuaL8eFOiQO-315721-FLCigna Plus 4-Ti,recd4qtuaL8eFOiQO
Cigna Plus 4-Tier Prescription Drug List (IL Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,IL,1,Health Plan: [IL],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-25-rx-il-981622-cigna-rx-plus-4-tier-pdl.pdf,https://portal.policyreporter.com/policy-updates/315723,315723,https://portal.policyreporter.com/geturlupdate.php?urlid=%1315723&updateid=%24830853,4/1/2025,,,,,,Individual Market,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM","iLet,Minimed 770G,Minimed 780G,Omnipod 5,Minimed 630G,Minimed 670G","iLet,Minimed 770G,Minimed 780G,Omnipod 5,Minimed 630G,Minimed 670G",,,,,,,,,,,,,,,,,Final,,Selected all Minimed AIDs since documentation did not specify. ,6/4/2025 10:45am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,,,,,CHIR_IDrec1IHz2OOJpSBvYd-315723-ILCigna Plus 4-Ti,rec1IHz2OOJpSBvYd
Cigna Plus 4-Tier Prescription Drug List (MS Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,MS,1,Health Plan: [MS],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-25-rx-ms-981624-cigna-rx-plus-4-tier-pdl.pdf,https://portal.policyreporter.com/policy-updates/315727,315727,https://portal.policyreporter.com/geturlupdate.php?urlid=%1315727&updateid=%24830909,4/1/2025,,,,,,Individual Market,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM","iLet,Minimed 770G,Minimed 780G,Omnipod 5,Minimed 630G,Minimed 670G","iLet,Minimed 770G,Minimed 780G,Omnipod 5,Minimed 630G,Minimed 670G",,,,,,,,,,,,,,,,,Final,,Selected all Minimed AIDs since documentation did not specify. ,6/4/2025 10:45am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,,,,,CHIR_IDrecO8bdAH1bLHKmce-315727-MSCigna Plus 4-Ti,recO8bdAH1bLHKmce
